"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта..МСК.61.";"Долгота..МСК.61.";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA."
"1";1;155,335699109491;"26-я линия";NA;"1";NA;NA;47,23773;39,7633;423438,050373965;2207732,49310544;0;1;0;0;1;4
"2";1;349,876266315321;"Госпиталь УВОВ";NA;"1";NA;NA;47,23636;39,76523;423283,459029687;2207876,24811031;0;1;0;0;1;10
"3";1;209,783994205117;"28-я линия";NA;"1";NA;NA;47,23333;39,76646;422945,149856749;2207964,12776056;0;1;0;0;1;5
"4";1;256,526254298063;"пл. Толстого";NA;"1";NA;NA;47,23128;39,76579;422718,035836277;2207909,83670822;0;1;0;0;1;21
"5";1;382,518647869281;"пл. Свободы";NA;"1";NA;NA;47,22909;39,76369;422477,049902139;2207747,00639266;0;1;0;0;1;20
"6";1;86,0838182229845;"13-я линия";NA;"1";NA;NA;47,22792;39,75811;422353,597779037;2207322,3960973;0;1;0;0;1;2
"7";1;254,604981231904;"7-я линия";NA;"1";NA;NA;47,22749;39,75569;422308,67399499;2207138,37578464;0;1;0;0;1;7
"8";1;113,459310535744;"1-я линия";NA;"1";NA;NA;47,22689;39,75244;422245,847729691;2206891,19693239;0;1;0;0;1;3
"9";1;1047,44341919976;"Нольная линия";NA;"1";NA;NA;47,22656;39,75102;422210,858028384;2206783,07792614;0;1;0;0;1;12
"10";1;391,201284792105;"Театральный/Горького";NA;"10, 4, 1";NA;NA;47,2321;39,73982;422840,215418436;2205944,68959829;0;3;0;0;3;32
"11";1;394,967395394878;"пер. Крепостной";NA;"10, 6, 4, 1";NA;NA;47,23094;39,73414;422718,125527513;2205512,50879976;0;4;0;0;4;14
"12";1;540,75975048999;"пр. Кировский";NA;"10, 6, 4, 1";NA;NA;47,22986;39,72914;422604,132873181;2205131,94729286;0;4;0;0;4;28
"13";1;355,186904359558;"пр. Чехова";NA;"10, 6, 4, 1";NA;NA;47,2283;39,7218;422439,66396617;2204573,3010129;0;4;0;0;4;30
"14";1;98,8678290381807;"пр. Ворошиловский/ул. МаксимаГорького";NA;"4, 1, 10, 6";NA;NA;47,22736;39,71731;422340,668763936;2204231,57756164;0;4;0;0;4;26
"15";1;366,366002028729;"пр. Ворошиловский";NA;"10, 6, 4, 1";NA;NA;47,22704;39,71609;422306,593227697;2204138,60751251;0;4;0;0;4;25
"16";1;380,366364406685;"пер. Семашко";NA;"10, 6, 4, 1";NA;NA;47,22593;39,71087;422189,624881862;2203741,27504062;0;4;0;0;4;16
"17";1;875,902589964744;"пр. Буденновский";NA;"10, 6, 4, 1";NA;NA;47,22488;39,70605;422078,857451888;2203374,32932348;0;4;0;0;4;24
"18";1;560,338024512596;"Центральный рынок";NA;"7, 6, 4, 1";NA;NA;47,21725;39,70888;421227,102388454;2203574,80495404;0;4;0;0;4;33
"19";1;602,078301420158;"пл. 5-го Донского корпуса";NA;"4, 1";NA;NA;47,21548;39,7018;421039,108837492;2203035,29374943;0;2;0;0;2;18
"20";1;256,162280460478;"Пригородный ЖДВ";NA;"4, 1";NA;NA;47,21779;39,6946;421304,899668153;2202494,14750025;0;2;0;0;2;31
"21";1;NA;"Главный ЖДВ";NA;"4, 1";NA;NA;47,21972;39,69202;421522,694028563;2202302,27616785;0;2;0;0;2;9
"22";4;256,162280460478;"Главный ЖДВ";NA;"4, 1";NA;NA;47,21954;39,6924;421502,206672071;2202330,72714546;0;2;0;0;2;9
"23";4;602,078301420158;"Пригородный ЖДВ";NA;"4, 1";NA;NA;47,21779;39,6946;421304,899668153;2202494,14750025;0;2;0;0;2;29
"24";4;560,338024512596;"пл. 5-го Донского корпуса";NA;"4, 1";NA;NA;47,21554;39,70191;421045,642388325;2203043,73558581;0;2;0;0;2;19
"25";4;875,902589964744;"Центральный рынок";NA;"7, 6, 4, 1";NA;NA;47,21725;39,70888;421227,102388454;2203574,80495404;0;4;0;0;4;34
"26";4;380,366364406685;"пр. Буденновский";NA;"1, 10, 6, 4";NA;NA;47,22495;39,70605;422086,63957024;2203374,4567149;0;4;0;0;4;21
"27";4;366,366002028729;"пер. Семашко";NA;"10, 6, 4, 1";NA;NA;47,22609;39,71145;422206,696404709;2203785,49035164;0;4;0;0;4;17
"28";4;98,8678290381807;"пр. Ворошиловский";NA;"10, 6, 4, 1";NA;NA;47,22704;39,71609;422306,593227697;2204138,60751251;0;4;0;0;4;23
"29";4;355,186904359558;"пр. Ворошиловский/ул. МаксимаГорького";NA;"4, 1, 10, 6";NA;NA;47,22736;39,71731;422340,668763936;2204231,57756164;0;4;0;0;4;24
"30";4;540,75975048999;"пр. Чехова";NA;"10, 6, 4, 1";NA;NA;47,22846;39,72229;422456,851814595;2204610,69621717;0;4;0;0;4;27
"31";4;394,967395394878;"пр. Кировский";NA;"10, 6, 4, 1";NA;NA;47,22991;39,72914;422609,691537545;2205132,03664893;0;4;0;0;4;25
"32";4;391,201284792105;"пер. Крепостной";NA;"10, 4, 1";NA;NA;47,23112;39,73485;422737,276114088;2205566,5946862;0;3;0;0;3;15
"33";4;477,762055218247;"Театральный/Горького";NA;"10, 4, 1";NA;NA;47,2321;39,73982;422840,215418436;2205944,68959829;0;3;0;0;3;33
"34";4;309,479512872155;"Каяни";NA;"10, 4";NA;NA;47,23468;39,74617;423119,398199414;2206430,08956037;0;2;0;0;2;13
"35";4;310,010513318571;"4-я линия";NA;"10, 4";NA;NA;47,23548;39,75017;423203,541583877;2206734,37934875;0;2;0;0;2;5
"36";4;255,858620310552;"14-я линия, Ченцова";NA;"10, 4";NA;NA;47,2371;39,75426;423378,755429363;2207046,91100076;0;2;0;0;2;1
"37";4;442,998085451412;"14-я линия, Шолохова";NA;"10, 4";NA;NA;47,23995;39,75298;423697,127714794;2206954,98971725;0;2;0;0;2;4
"38";4;643,655288264275;"Ростов-Товарная";NA;"10, 4";NA;NA;47,24404;39,75218;424152,783322493;2206901,59538973;0;2;0;0;2;31
"39";4;430,233725649389;"Бассейн ""Коралл""";NA;"10, 4";NA;NA;47,2479;39,75923;424573,513661927;2207442,06896037;0;2;0;0;2;8
"40";4;405,373332158463;"ДК Комбайностроителей";NA;"10, 4";NA;NA;47,25083;39,76323;424894,508274835;2207749,97320426;0;2;0;0;2;12
"41";4;NA;"Сельмаш";NA;"10, 4";NA;NA;47,25427;39,76499;425274,863585781;2207889,17585913;0;2;0;0;2;32
"42";6;875,902589964744;"Центральный рынок";NA;"7, 6, 4, 1";NA;NA;47,21725;39,70888;421227,102388454;2203574,80495404;0;4;0;0;4;17
"43";6;380,366364406685;"пр. Буденновский";NA;"1, 10, 6, 4";NA;NA;47,22495;39,70605;422086,63957024;2203374,4567149;0;4;0;0;4;7
"44";6;366,366002028729;"пер. Семашко";NA;"10, 6, 4, 1";NA;NA;47,22609;39,71145;422206,696404709;2203785,49035164;0;4;0;0;4;5
"45";6;98,8678290381807;"пр. Ворошиловский";NA;"10, 6, 4, 1";NA;NA;47,22704;39,71609;422306,593227697;2204138,60751251;0;4;0;0;4;9
"46";6;355,186904359558;"пр. Ворошиловский/ул. МаксимаГорького";NA;"4, 1, 10, 6";NA;NA;47,22736;39,71731;422340,668763936;2204231,57756164;0;4;0;0;4;10
"47";6;540,75975048999;"пр. Чехова";NA;"10, 6, 4, 1";NA;NA;47,22846;39,72229;422456,851814595;2204610,69621717;0;4;0;0;4;13
"48";6;394,967395394878;"пр. Кировский";NA;"10, 6, 4, 1";NA;NA;47,22991;39,72914;422609,691537545;2205132,03664893;0;4;0;0;4;11
"49";6;32,9169971154645;"пер. Крепостной";NA;"10, 6, 4, 1";NA;NA;47,23094;39,73414;422718,125527513;2205512,50879976;0;4;0;0;4;2
"50";6;177,843333764239;"пер. Крепостной/ул. Максима Горького";NA;"6";NA;NA;47,23122;39,73428;422749,084321916;2205523,60883258;0;1;0;0;1;4
"51";6;232,658880275321;"пер. Крепостной/ул. Красноармейская";NA;"6";NA;NA;47,23277;39,73371;422922,094191213;2205483,20511654;0;1;0;0;1;3
"52";6;327,284527007193;"ул. Лермонтовская";NA;"6";NA;NA;47,2355;39,73257;423226,980832264;2205401,74596151;0;1;0;0;1;16
"53";6;205,680362546088;"Черепахина";NA;"6";NA;NA;47,23839;39,73138;423549,717360372;2205316,79556998;0;1;0;0;1;19
"54";6;NA;"Мясокомбинат";NA;"6";NA;NA;47,23954;39,73351;423674,980827345;2205480,11826708;0;1;0;0;1;1
"55";7;275,908526084922;"ул. Чукотская";NA;"7";NA;NA;47,22595;39,64209;422279,093107018;2198532,37729322;0;1;0;0;1;41
"56";7;364,304504786806;"ул. Благодатная";NA;"7";NA;NA;47,22353;39,64326;422008,532187713;2198616,36450883;0;1;0;0;1;29
"57";7;259,799850765649;"Ровенская";NA;"7";NA;NA;47,2203;39,6448;421647,441908177;2198726,83912225;0;1;0;0;1;20
"58";7;403,794032403561;"ул. Манежная";NA;"7";NA;NA;47,21798;39,64586;421388,144349447;2198802,7041616;0;1;0;0;1;34
"59";7;231,263215150618;"пл. Мичурина";NA;"7";NA;NA;47,215;39,64811;421053,930980759;2198967,46091942;0;1;0;0;1;17
"60";7;279,611545209441;"ул. Андрея Сладкова";NA;"7";NA;NA;47,21691;39,64947;421264,509243118;2199074,10871803;0;1;0;0;1;25
"61";7;216,607510432066;"ул. Осипенко";NA;"7";NA;NA;47,21925;39,65158;421521,923936155;2199238,37260119;0;1;0;0;1;35
"62";7;253,916939764528;"ул. 5-я Кольцевая";NA;"7";NA;NA;47,21821;39,65436;421402,71436196;2199446,96839365;0;1;0;0;1;24
"63";7;148,329162023968;"3-я кольцевая, Калинина";NA;"7";NA;NA;47,21772;39,65765;421344,000961392;2199695,24153759;0;1;0;0;1;1
"64";7;321,480906824462;"ул. Мадояна";NA;"7";NA;NA;47,21882;39,6594;421464,040727295;2199829,86996284;0;1;0;0;1;31
"65";7;212,078580944622;"ул. С. Разина";NA;"7";NA;NA;47,22037;39,66474;421629,510286007;2200237,25147287;0;1;0;0;1;37
"66";7;340,472251981337;"ул. Скачкова";NA;"7";NA;NA;47,2222;39,66552;421831,958714111;2200299,765461;0;1;0;0;1;39
"67";7;220,686684705279;"ул. Балакирева";NA;"7";NA;NA;47,21952;39,66769;421531,24191077;2200459,09476478;0;1;0;0;1;27
"68";7;214,494266132666;"пер. Олимпийский";NA;"7";NA;NA;47,22138;39,6687;421736,734235448;2200539,07830746;0;1;0;0;1;9
"69";7;372,784327667858;"пер. Перовский";37;"7";NA;20;47,22063;39,67148;421649,810928085;2200748,23308521;1;1;0;1;3;11
"70";7;206,102640551679;"пер. Безымянный";NA;"7";NA;NA;47,22083;39,67703;421664,993470897;2201168,96697488;0;1;0;0;1;5
"71";7;371,596195947797;"пер. Рыбный";NA;"7";NA;NA;47,22055;39,68016;421629,901132378;2201405,5150881;0;1;0;0;1;12
"72";7;365,758673492028;"Лендворец";NA;"7";NA;NA;47,22105;39,68513;421679,213019872;2201782,87251315;0;1;0;0;1;4
"73";7;598,911260049948;"Сиверса";NA;"10, 7";NA;NA;47,22374;39,68802;421974,630843849;2202006,72627278;0;2;0;0;2;21
"74";7;264,590408526474;"пер. Доломановский";NA;"10, 7";NA;NA;47,22299;39,69691;421880,112308277;2202678,64868715;0;2;0;0;2;7
"75";7;350,876375094378;"пер. Халтуринский";NA;"10, 7";NA;NA;47,22382;39,70076;421967,585892138;2202971,75491352;0;2;0;0;2;14
"76";7;9,03300163319013;"ул. Максима Горького";NA;"7";NA;NA;47,22476;39,70519;422066,583231429;2203308,97881436;0;1;0;0;1;32
"77";7;872,405215760414;"пр. Буденновский";NA;"7";NA;NA;47,22468;39,70521;422057,664570668;2203310,34782941;0;1;0;0;1;18
"78";7;NA;"Центральный рынок";NA;"7, 6, 4, 1";NA;NA;47,21725;39,70888;421227,102388454;2203574,80495404;0;4;0;0;4;42
"79";10;323,945025815993;"Лендворец";NA;"10";NA;NA;47,22142;39,68528;421720,158021988;2201794,91781732;0;1;0;0;1;13
"80";10;598,911260049948;"Сиверса";NA;"10, 7";NA;NA;47,22374;39,68802;421974,630843849;2202006,72627278;0;2;0;0;2;34
"81";10;264,590408526474;"пер. Доломановский";NA;"10, 7";NA;NA;47,22299;39,69691;421880,112308277;2202678,64868715;0;2;0;0;2;15
"82";10;416,970420711523;"пер. Халтуринский";NA;"10, 7";NA;NA;47,22382;39,70076;421967,585892138;2202971,75491352;0;2;0;0;2;21
"83";10;380,366364406685;"пр. Буденновский";NA;"1, 10, 6, 4";NA;NA;47,22495;39,70605;422086,63957024;2203374,4567149;0;4;0;0;4;23
"84";10;366,366002028729;"пер. Семашко";NA;"10, 6, 4, 1";NA;NA;47,22609;39,71145;422206,696404709;2203785,49035164;0;4;0;0;4;19
"85";10;98,8678290381807;"пр. Ворошиловский";NA;"10, 6, 4, 1";NA;NA;47,22704;39,71609;422306,593227697;2204138,60751251;0;4;0;0;4;25
"86";10;355,186904359558;"пр. Ворошиловский/ул. МаксимаГорького";NA;"4, 1, 10, 6";NA;NA;47,22736;39,71731;422340,668763936;2204231,57756164;0;4;0;0;4;26
"87";10;540,75975048999;"пр. Чехова";NA;"10, 6, 4, 1";NA;NA;47,22846;39,72229;422456,851814595;2204610,69621717;0;4;0;0;4;29
"88";10;394,967395394878;"пр. Кировский";NA;"10, 6, 4, 1";NA;NA;47,22991;39,72914;422609,691537545;2205132,03664893;0;4;0;0;4;27
"89";10;391,201284792105;"пер. Крепостной";NA;"10, 4, 1";NA;NA;47,23112;39,73485;422737,276114088;2205566,5946862;0;3;0;0;3;17
"90";10;477,762055218247;"Театральный/Горького";NA;"10, 4, 1";NA;NA;47,2321;39,73982;422840,215418436;2205944,68959829;0;3;0;0;3;36
"91";10;309,479512872155;"Каяни";NA;"10, 4";NA;NA;47,23468;39,74617;423119,398199414;2206430,08956037;0;2;0;0;2;11
"92";10;310,010513318571;"4-я линия";NA;"10, 4";NA;NA;47,23548;39,75017;423203,541583877;2206734,37934875;0;2;0;0;2;5
"93";10;255,858620310552;"14-я линия, Ченцова";NA;"10, 4";NA;NA;47,2371;39,75426;423378,755429363;2207046,91100076;0;2;0;0;2;1
"94";10;442,998085451412;"14-я линия, Шолохова";NA;"10, 4";NA;NA;47,23995;39,75298;423697,127714794;2206954,98971725;0;2;0;0;2;4
"95";10;643,655288264275;"Ростов-Товарная";NA;"10, 4";NA;NA;47,24404;39,75218;424152,783322493;2206901,59538973;0;2;0;0;2;32
"96";10;430,233725649389;"Бассейн ""Коралл""";NA;"10, 4";NA;NA;47,2479;39,75923;424573,513661927;2207442,06896037;0;2;0;0;2;8
"97";10;405,373332158463;"ДК Комбайностроителей";NA;"10, 4";NA;NA;47,25083;39,76323;424894,508274835;2207749,97320426;0;2;0;0;2;10
"98";10;NA;"Сельмаш";NA;"10, 4";NA;NA;47,25427;39,76499;425274,863585781;2207889,17585913;0;2;0;0;2;33
